,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,3
20,4
21,4
22,4
23,5
24,5
25,6
26,6
27,6
28,6
29,7
30,7
31,7
32,7
33,7
34,7
35,8
36,8
37,8
38,9
39,9
40,9
41,10
42,10
43,10
44,11
45,11
46,11
47,11
48,11
49,11
50,12
51,12
52,12
53,12
54,12
55,13
56,13
57,13
58,14
59,14
60,14
61,14
62,14
63,14
64,15
65,15
66,15
67,16
68,16
69,16
70,17
71,17
72,17
73,18
74,18
75,18
76,19
77,19
78,19
79,20
80,20
81,20
82,20
83,20
84,20
85,20
86,20
87,20
88,20
89,20
90,20
91,21
92,21
93,22
94,22
95,22
96,22
97,22
98,22
99,22
100,22
101,22
102,22
103,22
104,22
105,23
106,23
107,23
108,24
109,24
110,25
111,25
112,25
113,25
114,25
115,25
116,25
117,25
118,25
119,25
120,25
121,25
122,26
123,26
124,26
125,27
126,27
127,27
128,28
129,28
130,28
131,28
132,28
133,28
134,28
135,28
136,28
137,29
138,29
139,29
140,29
141,29
142,29
143,29
144,29
145,29
146,29
147,29
148,29
149,29
150,29
151,29
152,29
153,29
154,29
155,29
156,29
157,29
158,29
159,29
160,29
161,30
162,30
163,30
164,31
165,31
166,31
167,31
168,32
169,32
170,32
171,33
172,33
173,33
174,33
175,33
176,33
177,34
178,34
179,34
180,35
181,35
182,35
183,36
184,36
185,36
186,37
187,37
188,38
189,38
190,38
191,39
192,39
193,39
194,40
195,40
196,40
197,41
198,41
199,41
200,41
201,41
202,41
203,41
204,41
205,41
206,41
207,41
208,41
209,41
210,41
211,41
212,42
213,42
214,42
215,42
216,42
217,42
218,42
219,42
220,42
221,43
222,43
223,43
224,43
225,43
226,43
227,43
228,43
229,43
230,44
231,44
232,44
233,45
234,45
235,45
236,45
237,45
238,45
239,45
240,45
241,45
242,45
243,45
244,45
245,45
246,45
247,45
248,45
249,45
250,45
251,46
252,46
253,46
254,47
255,47
256,47
257,47
258,47
259,47
260,47
261,47
262,47
263,48
264,48
265,48
266,49
267,49
268,49
269,50
270,50
271,50
272,51
273,51
274,51
275,52
276,52
277,52
278,52
279,52
280,52
281,52
282,52
283,52
284,52
285,52
286,52
287,52
288,52
289,52
290,52
291,52
292,52
293,52
294,52
295,52
296,52
297,52
298,52
299,53
300,53
301,54
302,54
303,54
304,55
305,55
306,55
307,56
308,56
309,56
310,57
311,57
312,57
313,57
314,57
315,57
316,58
317,58
318,58
319,59
320,59
321,59
322,60
323,60
324,60
325,60
326,60
327,60
328,61
329,61
330,61
331,62
332,62
333,62
334,63
335,63
336,63
337,63
338,63
339,63
340,63
341,63
342,64
343,64
344,64
345,65
346,65
347,65
348,65
349,65
350,65
351,66
352,66
353,66
354,67
355,67
356,67
357,67
358,67
359,67
360,67
361,67
362,67
363,68
364,68
365,69
366,69
367,69
368,69
369,69
370,69
371,70
372,70
373,70
374,70
375,70
376,70
377,71
378,71
379,71
380,71
381,71
382,71
383,72
384,72
385,73
386,73
387,73
388,73
389,73
390,73
391,73
392,73
393,74
394,74
395,74
396,74
397,74
398,74
399,74
400,74
401,74
402,74
403,74
404,74
405,75
406,75
407,75
408,75
409,75
410,75
411,75
412,75
413,75
414,76
415,76
416,76
417,76
418,76
419,76
420,76
421,76
422,76
423,76
424,76
425,76
426,76
427,76
428,76
429,76
430,76
431,76
432,77
433,77
434,77
435,78
436,78
437,78
438,78
439,78
440,78
441,79
442,79
443,79
444,80
445,80
446,80
447,81
448,81
449,81
450,82
451,82
452,82
453,83
454,83
455,83
456,84
457,84
458,84
459,85
460,85
461,85
462,86
463,86
464,87
465,87
466,87
467,87
468,87
469,87
470,87
471,87
472,87
473,87
474,87
475,87
476,88
477,88
478,88
479,89
480,89
481,89
482,90
483,90
484,91
485,91
486,91
487,91
488,91
489,91
490,92
491,92
492,92
493,92
494,92
495,92
496,92
497,92
498,92
499,93
500,93
501,93
502,94
503,94
504,94
505,94
506,94
507,94
508,94
509,94
510,94
511,94
512,94
513,94
514,95
515,95
516,95
517,95
518,95
519,95
520,96
521,96
522,96
523,97
524,97
525,97
526,98
527,98
528,99
529,99
530,99
531,99
532,99
